HHKID,REGION6,HHPARENT,MARRIED,GENDER,FOREIGNB,WAGET1,TASK,Indigenous,MixedFam,NUMFEMPL,FWRDAYS,NFWEEKS,NWWEEKS,MIGRANT,STREAMS,FAMPOV,G01,G03,G04B,G04C,G04D,G04E,G04fx,G04gx,G04H,G04N,NQ01x,G04I,G04J,G04K,G04L,G04M,G04px,NS01,NP01f,NQ03bx,NQ10mx,NQ10lx,NQ10ax,NQ10bx,NQ10cx,NQ10dx,NQ10ex,NQ10fx,NQ10gx,NQ10hx,NQ10ix,NQ10jx,NH05,NH01,NH03,NH02,NH06,NH04,NH10,FY,FWID,currstat,AGE,BLWAGE,C09WEEKS,CROP,D50MTCOD,AdultOtherIndg,CROWDED1,D04,D23,D26,D37,E02,A07,A09,B07,B08,B01,A08,B11,B17,D11,E01x,B02,C10,A21a,A21b,A23a3,A23a5,A23c5,A21c2,B21a,B21b,B21c,B21d,B21e,B21f,B21z,B22b,B23b,B24,FY
2,3,0,1,0,1,6.5,3,0,1,1,314,0,0,0,EASTERN,1,7,7,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2001,20011159,1,48,0,0.714285714,4,,0,0,40,1,1,2,5,1,7,4,4,3,,25,,1,0,7,6,0,0,,,,,1,1,0,0,0,0,0,4,4,1,2011
2,6,0,1,1,1,6.5,1,0,0,2,124,0,0,1,WESTERN,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2001,20011163,,61,0,0.571428571,3,2,0,0,40,0,0,1,2,3,8,1,1,2,1993,19,3,1,0,7,5,0,,,,,,0,1,0,0,0,0,0,4,4,2,2011
2,5,0,1,0,1,5.150000095,4,0,0,1,143,0,28.71428571,1,EASTERN,1,5,7,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2001,20011191,4,31,0,11.42857143,2,2,0,0,45,1,0,2,7,3,12,4,4,2,1990,17,3,1,0,1,6,0,0,,,,,1,1,0,0,0,0,0,4,4,2,2011
2,5,0,1,0,1,7.5,6,0,0,1,257,0,9,0,MIDWEST,1,9,9,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,,,,,,,,,,,,,,,0,0,0,0,0,0,1,2001,20011194,2,54,0,3.714285714,3,6,0,0,42,1,1,1,2,3,3,2,2,2,1973,37,3,4,0,7,5,0,1,,,,,1,1,0,0,0,0,0,4,3,2,2011
2,1,0,1,1,1,7.5,6,0,0,1,164,0,22.42857143,0,WESTERN,0,4,13,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,,,,,,,,,,,,,,,0,0,1,0,0,0,0,2001,20011199,4,31,0,1.571428571,1,,0,0,65,1,0,1,5,3,6,,,2,1996,16,3,1,0,7,6,0,0,,,1,1,1,1,0,0,0,0,0,4,4,2,2011
2,2,0,1,1,1,6,1,0,0,2,127,0,29,1,MIDWEST,1,5,7,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2001,20011204,4,26,0,2.428571429,4,,1,0,100,95,0,2,3,4,0,1,1,4,2010,1,10,1,0,7,6,0,,,,,,0,1,0,0,0,0,1,3,1,7,2011
2,5,0,1,1,0,8,6,0,0,1,210,0,0,0,EASTERN,0,4,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2001,20011214,1,42,,11.85714286,3,6,0,0,32,1,1,1,4,3,9,2,2,2,1988,22,3,,0,1,4,1,1,0,0,1,1,1,1,0,0,0,0,0,4,4,2,2011
2,5,0,1,0,1,6.550000191,4,0,0,2,233,0,10.14285714,0,WESTERN,0,9,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2001,20011219,4,24,0,34.71428571,3,4,0,0,40,1,0,4,2,3,12,2,2,2,2005,7,3,1,0,7,5,0,1,,,1,1,1,1,0,0,0,1,0,4,4,2,2011
2,3,0,1,1,0,6.5,4,0,0,1,57,49.14285714,3,0,EASTERN,0,11,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,,,,,,,,,,,,,,,0,1,0,0,0,0,0,2001,20011220,1,70,0,,3,,0,0,37,0,1,1,5,1,12,4,4,7,,24,,1,0,1,5,1,,1,0,,,1,1,0,0,0,0,0,2,1,1,2011
2,1,0,0,0,1,7,1,0,1,2,285,0,2.571428571,0,WESTERN,0,11,11,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2001,20011238,4,17,0,8.142857143,1,,0,1,66,1,0,6,5,3,8,2,2,2,2005,7,3,1,0,7,6,0,,,,,,1,1,0,0,0,0,0,4,4,2,2011
